Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Odeon Light  4993/80L - 264236;51120;220;Odeon Light;790;13;золото;прозрачный;1;80;80;арт-деко;LED
Люстра Odeon Light  4994/75L - 26240;38380;220;Odeon Light;600;135;золото;прозрачный;1;75;75;арт-деко;LED
Люстра Odeon Light  4995/40L - 264242;18610;220;Odeon Light;870;1500;золото;белый;1;10;10;модерн;LED
Люстра MW-Light 642015209 - 241816;39620;220;MW-Light;460;910;золото;прозрачный;9;40;360;хрусталь;E14
Люстра Odeon Light  4993/45L - 264235;37090;220;Odeon Light;600;133;золото;прозрачный;1;45;45;арт-деко;LED
Люстра Odeon Light  4993/90LA - 264238;61520;220;Odeon Light;600;133;золото;прозрачный;1;90;90;арт-деко;LED
Люстра Odeon Light  4995/150L - 264241;61170;220;Odeon Light;1900;1010;золото;прозрачный;1;150;150;модерн;LED
Люстра Odeon Light  5026/6 - 264332;9190;220;Odeon Light;700;965;черный;прозрачный;6;40;240;модерн;E14
Люстра Odeon Light  4993/80LA - 264237;48870;220;Odeon Light;600;133;золото;прозрачный;1;80;80;арт-деко;LED
Люстра Loft IT 9954-7 - 227736;13160;220-240;Loft IT;420;415;белый;белый;7;40;280;лофт;E14
Люстра Loft IT 10090 Clear - 227689;4790;220-240;Loft IT;380;570;хром;прозрачный;3;40;120;модерн;G9
Люстра Loft IT 10046/8 Gold - 227634;14310;220-240;Loft IT;855;500;золото;янтарный;16;45;360;модерн;G9, GU10
Люстра Odeon Light  4893/5C - 208122;26620;220;Odeon Light;700;590;хром;прозрачный;5;40;200;классика;E14
Люстра Loft IT 9954-19 - 227735;33600;220-240;Loft IT;800;470;белый;белый;19;40;760;лофт;E14
Люстра Loft IT 10090 Rose gold - 227690;5080;220-240;Loft IT;380;570;хром;розовое золото;3;40;120;модерн;G9
Люстра Loft IT 10045/8 Gold - 227626;16460;220-240;Loft IT;760;480;золото;дымчатый;8;40;320;модерн;G9
Люстра Loft IT 10046/10 Gold - 227630;17590;220-240;Loft IT;955;500;золото;янтарный;20;45;450;модерн;G9, GU10
Люстра Odeon Light  4893/7C - 208123;37060;220;Odeon Light;850;628;хром;прозрачный;7;40;280;классика;E14
Люстра Sfera Sveta 1052/2+2-DA-LT WHITE - 203978;3990;220-240;Sfera Sveta;760;100;белый;белый;1;90;90;современный;LED
Люстра Loft IT 10090 Chrome - 227688;5080;220-240;Loft IT;380;570;хром;хром;3;40;120;модерн;G9
Люстра Favourite 2680-6P - 150487;12000;220-240;Favourite;800;500;хром;белый;6;40;240;современный;E14
Люстра Odeon Light  4938/4 - 208185;26470;220;Odeon Light;250;580;золото;прозрачный;4;40;160;модерн;E14
Люстра Vitaluce V5350-9/5 - 186446;34200;220-240;Vitaluce;410;1630;бронза;прозрачный;5;40;200;хрусталь;E14
Люстра Lumion 4557/5C - 199297;4800;220;Lumion;595;255;хром;прозрачный;5;40;200;модерн;E14
